"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Referrer URL","Source","Do you mainly b..  [Play by myself]","Do you mainly b..  [Share with others]","On average, how.. ","What kind of co..  [Construction (e.. ]","What kind of co..  [Technical const.. ]","What kind of co..  [Mods or plugins]","What kind of co..  [Texture packs o.. ]","What kind of co..  [Entire Worlds]","What kind of co..  [I don't create .. ]","What kind of co..  [Other]","Have you ever b.. ","Would you consi.. ","Creating conten.. ","Creating conten.. ","I feel like I'm.. ","I feel a sense .. ","I feel a sense .. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","I think creatin.. ","I learn new thi.. ","I gain experien.. ","I can improve m.. ","Creating conten.. ","I find the expe.. ","I find the expe.. ","I find the expe.. ","Creating conten.. ","I find the expe.. ","My content crea.. ","Creating conten.. ","My content crea.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","I can forget ab.. ","I can get away .. ","I can get away .. ","Creating conten.. ","My content crea.. ","My content crea.. ","My content crea.. ","Creating conten.. ","Creating conten.. ","I can show othe.. ","I can help othe.. ","I can let peopl.. ","My content crea.. ","My content crea.. ","I gain extra in.. ","I intend to con.. ","I would like to.. ","My intention is.. ","I will say posi.. ","I will recommen.. ","I will refer my.. ","I keep in touch.. ","I communicate w.. ","I keep in conta.. ","Creating conten.. ","I meet new peop.. ","I make new acqu.. ","In which countr.. ","How old are you?","Which gender do.. ","Which gender do..  [Other]","On average, how.. ","When did you st.. ","Last time I cre.. ","On average, how.. ","Total time","Group time: Step 1","Question time: SC","Question time: CC1","Question time: CC2","Question time: CC3","Question time: .. ","Question time: .. ","Group time: Step 2","Question time: PT1","Question time: PT2","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Step 3","Question time: ID1","Question time: ID2","Question time: ID3","Question time: PA1","Question time: PA2","Question time: PA3","Group time: Step 4","Question time: SD1","Question time: SD2","Question time: SD3","Question time: SD4","Question time: PA4","Group time: Step 5","Question time: .. ","Question time: .. ","Question time: .. ","Question time: SE1","Question time: .. ","Question time: .. ","Group time: Step 6","Question time: SE3","Question time: .. ","Question time: SE5","Question time: SE4","Question time: SE2","Question time: SE6","Group time: Step 7","Question time: ES1","Question time: ES2","Question time: ES3","Question time: ES4","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Step 8","Question time: PT3","Question time: PT4","Group time: Step 9","Question time: HB1","Question time: HB2","Question time: HB3","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: CI1","Question time: CI3","Question time: CI2","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: PD6","Question time: PD1","Question time: PD2","Question time: .. ","Question time: PD4","Question time: PD5","Question time: .. "
"23","2024-12-28 22:44:17","12","en","1226746963","2024-12-28 22:38:48","2024-12-28 22:44:17",,"","No","Yes","10","No","No","No","Yes","No","No","Roleplay server/community of historians","Yes","No","5","5","5","5","5","5","5","5","3","3","3","5","5","5","5","2","5","4","4","4","5","1","5","3","4","5","4","5","5","5","5","5","4","5","4","5","5","5","5","5","1","1","1","5","5","5","5","5","4","4","4","5","5","5","5","United States of America","25","Male","","0","2023-08-12 00:00:00","This week","0","332.08","45.35",,,,,,,"21.55",,,,,,"26.87",,,,,,,"37.08",,,,,,,,,,,,,,,,,,,,"41.82",,,,,,,,,,,"52.48",,,,,,,"16.12",,,,,,,"23.27",,,,,,,"67.54",,,,,,,
"24","2024-12-29 13:07:50","12","en","1711471122","2024-12-29 12:57:44","2024-12-29 13:07:50",,"","Yes","Yes","5","Yes","Yes","No","Yes","No","No","Whilst technically a texturepack, the pack ""stargazer"" served more as a tech demo for what one can do with skyboxes,a nd should not be seen as a pack ready to use.","Yes","Yes","3","3","2","2","1","4","4","4","1","2","1","3","4","4","4","1","5","4","4","3","4","1","3","3","1","3","3","2","3","3","2","3","2","1","3","4","3","3","3","3","1","1","1","4","4","2","1","1","1","1","1","1","2","3","4","germany","23","Male","","0","2013-08-01 00:00:00","Yesterday","0","607.7","166",,,,,,,"33",,,,,,,,,,,,,"59.19",,,,,,"72.47",,,,,,,,,,,,,,,,,,,,,,,,,"68.35",,,,,,,"47.41",,,,,,,"63.14",,,,,,,"98.14",,,,,,,
"25",,"3","en","1894989171","2024-12-29 18:55:30","2024-12-29 18:56:55",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"Yes","N/A","3",,,"3","3",,,"3","3",,,,"3",,"3",,"4","3","3",,,,"3",,,,,,"4","3",,,,,,"3",,,"3",,,,,,,,,,,,"2",,,,"3",,,,,,,,,"86.08","40.16",,,,,,,"45.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26","2024-12-29 19:17:08","12","en","1118681511","2024-12-29 19:10:00","2024-12-29 19:17:08",,"","No","Yes","2","No","No","No","No","No","Yes","","Yes","Yes","2","1","5","5","3","4","5","5","1","2","1","4","5","2","4","1","5","5","4","3","5","1","4","2","2","5","2","2","3","1","1","1","3","3","4","5","1","5","3","4","1","1","1","5","5","2","5","2","1","2","4","2","4","5","3","Belgium","30","Male","","0","2009-12-29 00:00:00","Today","0","429.1",,,,,,,,,,,,,,,,,,,,,"62.76",,,,,,"20.87",,,,,,,,,,,,,,"116.56",,,,,,,,"16.05",,,"26.03",,,,,,,"30.15",,,,,,,"28.25",,,,,,,"128.43",,,,,,,
"27","2024-12-29 19:25:03","12","en","991639229","2024-12-29 19:11:45","2024-12-29 19:25:03",,"","Yes","No","10","Yes","No","Yes","No","No","No","Simple builds, realistic land ideas","Yes","Yes","5","5","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","4","5","4","5","5","4","5","4","4","5","4","3","4","4","3","5","5","5","4","5","5","4","4","5","5","3","4","5","4","5","4","5","3","3","3","5","5","5","USA","16","Other","Genderfluid","0","2022-10-05 00:00:00","This week","0","804.76","223.36",,,,,,,,,,,,,"46.72",,,,,,,"36.41",,,,,,,,,,,,,"47.46",,,,,,,"82.39",,,,,,,,,,,"121.16",,,,,,,"65",,,,,,,"37.3",,,,,,,"144.96",,,,,,,
"28","2024-12-29 20:01:21","12","en","414170051","2024-12-29 19:54:08","2024-12-29 20:01:21",,"","No","Yes","5","Yes","No","No","No","No","No","","Yes","Yes","5","5","5","4","4","3","1","5","3","1","1","4","5","3","5","1","5","5","5","2","5","1","4","2","3","5","5","3","1","1","5","5","3","4","5","3","4","4","1","5","1","1","1","5","5","5","5","5","5","1","1","1","3","3","3","Russia","16","Male","","0","2023-08-25 00:00:00","Today","0","434.82","101.63",,,,,,,"33.31",,,,,,"61",,,,,,,,,,,,,,,,,,,,,,,,,,,"41.46",,,,,,,,"31.68",,,,,,,,,,"33.05",,,,,,,"70.1",,,,,,,"62.59",,,,,,,
"29","2024-12-29 20:58:52","12","en","202438904","2024-12-29 20:53:33","2024-12-29 20:58:52",,"","No","Yes","1","Yes","Yes","Yes","Yes","Yes","No","","Yes","Yes","5","5","4","4","3","5","5","5","2","3","2","5","5","5","5","2","5","5","5","2","5","2","4","3","1","5","3","1","5","5","5","3","1","3","5","5","5","4","4","3","2","2","1","5","5","2","4","4","2","2","2","3","4","4","4","canada","18","Male","","0","2011-07-30 00:00:00","This month","0","321.41","29.79",,,,,,,,,,,,,,,,,,,,"53.02",,,,,,"55.9",,,,,,,"15.5",,,,,,,,,,,,,,,"30.8",,,"43.47",,,,,,,"23.58",,,,,,,,,,,,,,"69.35",,,,,,,
"30",,,"en","1778024198","2024-12-29 20:58:38","2024-12-29 20:58:38",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31",,,"en","1134645376","2024-12-29 22:17:16","2024-12-29 22:17:16",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32",,"1","en","770680594","2024-12-29 22:45:24","2024-12-29 22:46:02",,,"N/A","N/A","14","Yes","No","No","No","No","No","","N/A","N/A",,,,,,,,,,,,,,"4",,,,"4",,,,,"4",,,,,,,,,,"1",,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,"37.03",,,,,,,,,,,,,,,,,,,,,"37.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
